BUSMASTER Ver 3.2.2,,,,,,
PROTOCOL CAN,,,,,,
NOTE: PLEASE DO NOT EDIT THIS DOCUMENT,,,,,,
[START LOGGING SESSION],,,,,,
START DATE AND TIME 15:1:2019 13:13:26:24,,,,,,
END DATE AND TIME 23:1:2019 14:47:40:625,,,,,,
SYSTEM MODE,,,,,,
START CHANNEL BAUD RATE,,,,,,
CHANNEL 1 - Kvaser - Kvaser Leaf Light v2 #0 (Channel 0), Serial Number- 0, Firmware- 0x00000187 0x00040004 - 250000 bps,,,,
END CHANNEL BAUD RATE,,,,,,
START DATABASE FILES,,,,,,
END DATABASE FILES,,,,,,
<Time>,<Tx/Rx>,<Channel>,<CAN ID>,<Type>,<DLC>,<DataBytes>
13:13:26:0212,Rx,1,0x5601069,x,8,E0 F7 F7 FF 39 00 84 C0 
13:13:26:0262,Rx,1,0x5601069,x,8,DF F7 F7 FF 38 00 84 C0 
13:13:26:0312,Rx,1,0x5601069,x,8,DF F7 F7 FF 38 00 84 C0 
13:13:26:0362,Rx,1,0x5601069,x,8,DF F7 F7 FF 37 00 84 C0 
13:13:26:0412,Rx,1,0x5601069,x,8,DF F7 F7 FF 37 00 84 C0 
13:13:26:0462,Rx,1,0x5601069,x,8,DE F7 F6 FF 36 00 84 C0 
13:13:26:0512,Rx,1,0x5601069,x,8,DE F7 F6 FF 36 00 84 C0 
13:13:26:0562,Rx,1,0x5601069,x,8,DE F7 F6 FF 35 00 84 C0 
13:13:26:0612,Rx,1,0x5601069,x,8,DE F7 F6 FF 35 00 84 C0 
13:13:26:0662,Rx,1,0x5601069,x,8,DD F7 F5 FF 34 00 84 C0 
13:13:26:0722,Rx,1,0x5601069,x,8,DD F7 F5 FF 34 00 84 C0 
13:13:26:0772,Rx,1,0x5601069,x,8,DD F7 F5 FF 33 00 84 C0 
13:13:26:0822,Rx,1,0x5601069,x,8,DD F7 F5 FF 33 00 84 C0 
13:13:26:0872,Rx,1,0x5601069,x,8,DD F7 F5 FF 32 00 84 C0 
13:13:26:0922,Rx,1,0x5601069,x,8,DD F7 F5 FF 32 00 84 C0 
13:13:26:0972,Rx,1,0x5601069,x,8,DD F7 F5 FF 31 00 84 C0 
13:13:26:1022,Rx,1,0x5601069,x,8,DD F7 F4 FF 31 00 84 C0 
13:13:26:1072,Rx,1,0x5601069,x,8,DD F7 F4 FF 30 00 84 C0 
13:13:26:1122,Rx,1,0x5601069,x,8,DD F7 F4 FF 30 00 84 C0 
13:13:26:1172,Rx,1,0x5601069,x,8,DD F7 F4 FF 2F 00 84 C0 
13:13:26:1222,Rx,1,0x5601069,x,8,DD F7 F4 FF 2F 00 84 C0 
13:13:26:1272,Rx,1,0x5601069,x,8,DC F7 F4 FF 2E 00 84 C0 
13:13:26:1322,Rx,1,0x5601069,x,8,DC F7 F4 FF 2E 00 84 C0 
13:13:26:1372,Rx,1,0x5601069,x,8,DC F7 F4 FF 2D 00 84 C0 
13:13:26:1422,Rx,1,0x5601069,x,8,DC F7 F4 FF 2D 00 84 C0 
13:13:26:1482,Rx,1,0x5601069,x,8,DC F7 F4 FF 2C 00 84 C0 
13:13:26:1532,Rx,1,0x5601069,x,8,DC F7 F4 FF 2C 00 84 C0 
13:13:26:1582,Rx,1,0x5601069,x,8,DC F7 F4 FF 2B 00 84 C0 
13:13:26:1632,Rx,1,0x5601069,x,8,DB F7 F4 FF 2B 00 84 C0 
13:13:26:1682,Rx,1,0x5601069,x,8,DB F7 F4 FF 2A 00 84 C0 
13:13:26:1732,Rx,1,0x5601069,x,8,DB F7 F4 FF 2A 00 84 C0 
13:13:26:1782,Rx,1,0x5601069,x,8,DB F7 F4 FF 29 00 84 C0 
13:13:26:1832,Rx,1,0x5601069,x,8,DA F7 F3 FF 29 00 85 C0 
13:13:26:1882,Rx,1,0x5601069,x,8,DA F7 F3 FF 28 00 85 C0 
13:13:26:1932,Rx,1,0x5601069,x,8,DA F7 F3 FF 28 00 85 C0 
13:13:26:1982,Rx,1,0x5601069,x,8,DA F7 F3 FF 27 00 85 C0 
13:13:26:2032,Rx,1,0x5601069,x,8,D9 F7 F3 FF 27 00 85 C0 
13:13:26:2082,Rx,1,0x5601069,x,8,D9 F7 F3 FF 27 00 85 C0 
13:13:26:2132,Rx,1,0x5601069,x,8,D9 F7 F3 FF 27 00 85 C0 
13:13:26:2182,Rx,1,0x5601069,x,8,D9 F7 F3 FF 26 00 85 C0 
13:13:26:2232,Rx,1,0x5601069,x,8,D9 F7 F3 FF 26 00 85 C0 
13:13:26:2292,Rx,1,0x5601069,x,8,D9 F7 F3 FF 26 00 85 C0 
13:13:26:2342,Rx,1,0x5601069,x,8,D9 F7 F3 FF 25 00 85 C0 
13:13:26:2402,Rx,1,0x5601069,x,8,D8 F7 F3 FF 25 00 85 C0 
13:13:26:2442,Rx,1,0x5601069,x,8,D8 F7 F3 FF 24 00 85 C0 
13:13:26:2492,Rx,1,0x5601069,x,8,D8 F7 F3 FF 24 00 85 C0 
13:13:26:2542,Rx,1,0x5601069,x,8,D7 F7 FB FF 39 00 85 C0 
13:13:26:2592,Rx,1,0x5601069,x,8,D7 F7 FB FF 38 00 85 C0 
13:13:26:2642,Rx,1,0x5601069,x,8,D7 F7 FB FF 38 00 85 C0 
